	Sediment_013	Sediment_014	Sediment_015	Sediment_010	Sediment_011	Sediment_012	Sediment_043	Sediment_044	Sediment_045	Sediment_040	Sediment_041	Sediment_058	Sediment_060	Sediment_055	Sediment_056	Sediment_057	Sediment_004	Sediment_005	Sediment_006	Sediment_001	Sediment_002	Sediment_003	Sediment_007	Sediment_008	Sediment_009	Sediment_034	Sediment_035	Sediment_036	Sediment_031	Sediment_032	Sediment_033	Sediment_037	Sediment_038	Sediment_039	Sediment_049	Sediment_051	Sediment_046	Sediment_047	Sediment_048	Sediment_052	Sediment_053	Sediment_054
ASV.2422	25	0	15	0	0	0	0	0	0	0	0	0	0	10	0	0	0	13	0	0	0	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0
ASV.2423	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5
ASV.2424	180	66	87	97	87	92	56	68	37	0	30	85	47	67	49	74	53	77	68	89	74	58	57	57	119	69	32	48	33	0	110	48	51	29	66	165	81	84	59	76	54	72
ASV.2425	0	0	0	0	0	0	0	0	16	0	0	0	0	9	9	0	0	0	0	23	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	15	0	0	0	12
ASV.2426	53	11	40	31	49	16	10	18	26	0	14	10	27	22	21	19	26	45	5	21	41	15	21	0	17	32	0	0	14	0	87	15	0	35	32	73	47	11	17	16	12	9
ASV.2427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	5	34	0	0	0	0	0	0	0	0	0	6	0	0	0
ASV.2428	13	0	0	0	0	0	20	5	18	6	0	0	0	0	0	0	0	0	0	26	11	0	0	0	0	28	10	22	74	26	0	39	25	3	0	0	0	0	20	0	0	0
ASV.2429	0	0	1173	41	319	249	0	0	0	0	0	481	54	173	64	0	0	0	93	0	0	69	151	0	0	0	0	0	0	0	196	0	0	0	0	0	0	172	0	0	0	278
ASV.243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	43	0	78	0	0	0	0	0	0	0	0	0	0	0	0
ASV.2430	12	0	32	0	0	19	0	0	0	0	0	0	0	0	0	38	29	21	0	0	19	0	0	9	0	0	0	0	0	0	14	0	0	0	0	0	125	0	0	25	0	0
ASV.2431	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	21	0	33	0	22	20	0	30	0	24	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0
ASV.2432	0	16	57	0	12	15	0	0	0	0	0	23	0	0	37	0	0	7	0	0	0	0	18	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	60
ASV.2433	269	133	24	79	0	33	0	5	0	0	17	12	0	22	29	155	81	236	16	203	137	43	66	88	208	0	28	3	0	0	56	26	0	9	17	66	306	81	0	61	105	24
ASV.2434	0	0	0	0	9	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	0	0	0
ASV.2435	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	24	0	0	0	0	0	0	0	0	0	0	0	19	21	0	0	0	0	0
ASV.2436	112	87	93	81	36	61	61	61	36	0	52	76	49	51	62	64	27	72	45	65	61	61	56	65	42	13	35	32	11	0	81	56	24	70	48	41	65	66	50	44	46	37
