	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV.3660	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27_clade	NA
ASV.3661	Bacteria	Chloroflexi	Anaerolineae	Ardenticatenales	uncultured	uncultured	uncultured_bacterium
ASV.3662	Bacteria	Acidobacteriota	Holophagae	Acanthopleuribacterales	Acanthopleuribacteraceae	Acanthopleuribacter	uncultured_bacterium
ASV.3663	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	uncultured	uncultured_bacterium
ASV.3664	Bacteria	Proteobacteria	Gammaproteobacteria	Thiotrichales	Thiotrichaceae	uncultured	sulfur-oxidizing_bacterium
ASV.3665	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	uncultured	NA
ASV.3666	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV.3667	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	uncultured_bacterium
ASV.3668	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	Phycisphaera	uncultured_Planctomycetales
ASV.3669	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	NA	NA
ASV.367	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	uncultured_bacterium
ASV.3670	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV.3671	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	NA
ASV.3672	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Sediminispirochaeta	spirochete_endosymbiont
ASV.3673	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	Arenicellaceae	Arenicella	uncultured_bacterium
ASV.3674	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae	uncultured	NA
ASV.3675	Bacteria	Desulfobacterota	uncultured	uncultured	uncultured	uncultured	uncultured_bacterium
ASV.3676	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	uncultured_bacterium
ASV.3677	Bacteria	Planctomycetota	BD7-11	BD7-11	BD7-11	BD7-11	uncultured_planctomycete
ASV.3678	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Muricauda	Bacteroidetes_bacterium
ASV.3679	Bacteria	Proteobacteria	Magnetococcia	Magnetococcales	Magnetococcaceae	Magnetococcus	Magnetococcus_marinus
ASV.368	Bacteria	Proteobacteria	Gammaproteobacteria	Ectothiorhodospirales	Thioalkalispiraceae	Thiohalophilus	NA
ASV.3680	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetospira	NA
ASV.3681	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Cerasicoccus	uncultured_organism
ASV.3682	Bacteria	Proteobacteria	Gammaproteobacteria	B2M28	B2M28	B2M28	NA
ASV.3683	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Prolixibacteraceae	NA	NA
ASV.3684	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Cerasicoccus	uncultured_Verrucomicrobia
ASV.3685	Bacteria	NB1-j	NB1-j	NB1-j	NB1-j	NB1-j	NA
ASV.3686	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	Woeseia_oceani
ASV.3687	Bacteria	Latescibacterota	Latescibacterota	Latescibacterota	Latescibacterota	Latescibacterota	uncultured_bacterium
ASV.3688	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	uncultured_gamma
ASV.3689	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	uncultured	uncultured_delta
ASV.369	Bacteria	Acidobacteriota	Subgroup_22	Subgroup_22	Subgroup_22	Subgroup_22	uncultured_bacterium
ASV.3690	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured	NA
ASV.3691	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	planctomycete_MS3057
ASV.3692	Bacteria	Desulfobacterota	Desulfuromonadia	PB19	PB19	PB19	uncultured_bacterium
ASV.3693	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	NA
ASV.3694	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	uncultured	NA
ASV.3695	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rubripirellula	uncultured_bacterium
ASV.3696	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	uncultured_bacterium
ASV.3697	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	NA
ASV.3698	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Roseibacillus	NA
ASV.3699	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	NA
ASV.37	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliales	Babeliales	uncultured_bacterium
ASV.370	Bacteria	Desulfobacterota	Desulfuromonadia	Desulfuromonadia	Geopsychrobacteraceae	Desulfuromusa	uncultured_bacterium
ASV.3700	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Marinoscillum	uncultured_organism
ASV.3701	Bacteria	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	NA
ASV.3702	Bacteria	Firmicutes	Clostridia	Peptostreptococcales-Tissierellales	Fusibacteraceae	Fusibacter	Clostridiales_bacterium
ASV.3703	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	uncultured	uncultured_bacterium
ASV.3704	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Magnetospiraceae	Magnetovibrio	uncultured_Alphaproteobacteria
ASV.3705	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV.3706	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiales_Incertae_Sedis	Anderseniella	NA
ASV.3707	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	uncultured_bacterium
ASV.3708	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Terasakiellaceae	uncultured	NA
ASV.3709	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV.371	Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	uncultured	uncultured_Spirochaetes
ASV.3710	Bacteria	Proteobacteria	Gammaproteobacteria	Arenicellales	Arenicellaceae	HTCC5015	uncultured_bacterium
ASV.3711	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV.3712	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	uncultured	uncultured_bacterium
ASV.3713	Bacteria	Proteobacteria	Alphaproteobacteria	Puniceispirillales	uncultured	uncultured	uncultured_Rhodospirillaceae
ASV.3714	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV.3715	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Kangiellaceae	Pleionea	Kangiella_sp.
ASV.3716	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Vicingus	uncultured_bacterium
ASV.3717	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	uncultured	NA
ASV.3718	Bacteria	Myxococcota	Myxococcia	Myxococcales	Myxococcaceae	P3OB-42	uncultured_delta
ASV.3719	Bacteria	Verrucomicrobiota	Kiritimatiellae	WCHB1-41	WCHB1-41	WCHB1-41	NA
ASV.372	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	Arctic95B-14	Arctic95B-14	uncultured_bacterium
ASV.3720	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	uncultured_bacterium
ASV.3721	Bacteria	Fusobacteriota	Fusobacteriia	Fusobacteriales	Leptotrichiaceae	uncultured	marine_metagenome
ASV.3722	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	AB1	AB1	NA
ASV.3723	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	uncultured	uncultured_bacterium
ASV.3724	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	uncultured	uncultured_bacterium
ASV.3725	Bacteria	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	NA
ASV.3726	Bacteria	Proteobacteria	Alphaproteobacteria	uncultured	uncultured	uncultured	uncultured_Alphaproteobacteria
ASV.3727	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	NA
ASV.3728	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Spongiibacteraceae	Spongiibacteraceae	uncultured_bacterium
ASV.3729	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	NA
ASV.373	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	uncultured	uncultured	uncultured_organism
ASV.3730	Bacteria	Proteobacteria	NA	NA	NA	NA	NA
ASV.3731	Bacteria	Proteobacteria	Gammaproteobacteria	Steroidobacterales	Woeseiaceae	Woeseia	NA
ASV.3732	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27_clade	NA
ASV.3733	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Ekhidna	NA
ASV.3734	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Salinispira	Spirochaeta_lutea
ASV.3735	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Phaeodactylibacter	uncultured_bacterium
ASV.3736	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales	Micavibrionaceae	uncultured	uncultured_Alphaproteobacteria
ASV.3737	Bacteria	Actinobacteriota	Thermoleophilia	Gaiellales	uncultured	uncultured	uncultured_bacterium
ASV.3738	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	SM2D12	SM2D12	NA
ASV.3739	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	uncultured_bacterium
ASV.374	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Microscillaceae	Microscilla	NA
ASV.3740	Bacteria	Proteobacteria	Gammaproteobacteria	Burkholderiales	Nitrosomonadaceae	Nitrosomonas	NA
ASV.3741	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A_clade	KI89A_clade	KI89A_clade	uncultured_gamma
ASV.3742	Bacteria	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	uncultured_bacterium
ASV.3743	Bacteria	Proteobacteria	Gammaproteobacteria	Coxiellales	Coxiellaceae	Coxiella	NA
ASV.3744	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	BD2-7	BD2-7	NA
ASV.3745	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	NA	NA
ASV.3746	Bacteria	NA	NA	NA	NA	NA	NA
ASV.3747	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	NA
ASV.3748	Bacteria	Bacteroidota	Rhodothermia	Balneolales	Balneolaceae	Balneola	NA
ASV.3749	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Portibacter	uncultured_Bacteroidetes
ASV.375	Bacteria	Hydrogenedentes	Hydrogenedentia	Hydrogenedentiales	Hydrogenedensaceae	Hydrogenedensaceae	uncultured_sediment
ASV.3750	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	NA	NA
ASV.3751	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	NA
ASV.3752	Bacteria	Bdellovibrionota	Oligoflexia	Silvanigrellales	Silvanigrellaceae	Silvanigrella	uncultured_bacterium
ASV.3753	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Microtrichaceae	Sva0996_marine_group	uncultured_bacterium
ASV.3754	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	uncultured	NA
ASV.3755	Bacteria	Proteobacteria	Gammaproteobacteria	KI89A_clade	KI89A_clade	KI89A_clade	uncultured_bacterium
ASV.3756	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV.3757	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Stappiaceae	Labrenzia	NA
ASV.3758	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	Pseudahrensia	uncultured_bacterium
ASV.3759	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	Holophaga_sp.
ASV.376	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured	NA
ASV.3760	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV.3761	Bacteria	Proteobacteria	Gammaproteobacteria	Tenderiales	Tenderiaceae	Candidatus_Tenderia	uncultured_gamma
ASV.3762	Bacteria	Verrucomicrobiota	Chlamydiae	Chlamydiales	Chlamydiaceae	Chlamydiaceae	uncultured_Chlamydiales
ASV.3763	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Flammeovirgaceae	Flexithrix	Flexithrix_dorotheae
ASV.3764	Bacteria	Gemmatimonadota	BD2-11_terrestrial_group	BD2-11_terrestrial_group	BD2-11_terrestrial_group	BD2-11_terrestrial_group	uncultured_bacterium
ASV.3765	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales	Woesearchaeales	Woesearchaeales	NA
ASV.3766	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Ulvibacter	Aureitalea_sp.
ASV.3767	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Winogradskyella	NA
ASV.3768	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV.3769	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Bythopirellula	uncultured_bacterium
ASV.377	Bacteria	Gemmatimonadota	BD2-11_terrestrial_group	BD2-11_terrestrial_group	BD2-11_terrestrial_group	BD2-11_terrestrial_group	NA
ASV.3770	Bacteria	NA	NA	NA	NA	NA	NA
ASV.3771	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	FS142-36B-02	uncultured_gamma
ASV.3772	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	DEV007	uncultured_marine
ASV.3773	Bacteria	MBNT15	MBNT15	MBNT15	MBNT15	MBNT15	uncultured_soil
ASV.3774	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	NA	NA
ASV.3775	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	NA
ASV.3776	Bacteria	Dadabacteria	Dadabacteriia	Dadabacteriales	Dadabacteriales	Dadabacteriales	NA
ASV.3777	Bacteria	Planctomycetota	Pla4_lineage	Pla4_lineage	Pla4_lineage	Pla4_lineage	NA
ASV.3778	Bacteria	Planctomycetota	Phycisphaerae	Phycisphaerales	Phycisphaeraceae	SM1A02	NA
ASV.3779	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	OM27_clade	NA
ASV.378	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	uncultured	NA
ASV.3780	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Cellvibrionaceae	uncultured	uncultured_bacterium
ASV.3781	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Cyclobacteriaceae	Fabibacter	NA
ASV.3782	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	NA
ASV.3783	Bacteria	Actinobacteriota	Acidimicrobiia	Microtrichales	Ilumatobacteraceae	uncultured	uncultured_bacterium
ASV.3784	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	uncultured	uncultured	NA
ASV.3785	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	uncultured_bacterium
ASV.3786	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Kangiellaceae	Aliikangiella	Aliikangiella_marina
ASV.3787	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	Rubritaleaceae	Luteolibacter	Luteolibacter_cuticulihirudinis
ASV.3788	Bacteria	Planctomycetota	NA	NA	NA	NA	NA
ASV.3789	Bacteria	Proteobacteria	Gammaproteobacteria	Legionellales	Legionellaceae	uncultured	uncultured_gamma
ASV.379	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	OM60_NOR5__clade	NA
ASV.3790	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Vicingus	NA
ASV.3791	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Pir4_lineage	NA
ASV.3792	Bacteria	Proteobacteria	Alphaproteobacteria	Holosporales	Holosporaceae	uncultured	NA
ASV.3793	Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	Alteromonadaceae	Aestuariibacter	NA
ASV.3794	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Flavobacteriaceae	Lutaonella_thermophila
ASV.3795	Bacteria	PAUC34f	PAUC34f	PAUC34f	PAUC34f	PAUC34f	uncultured_marine
ASV.3796	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Blastopirellula	uncultured_marine
ASV.3797	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	NA
ASV.3798	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	NA	NA	NA
ASV.3799	Bacteria	Spirochaetota	Leptospirae	Leptospirales	Leptospiraceae	Turneriella	uncultured_bacterium
ASV.38	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	NA	NA
ASV.380	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Flavobacteriaceae	Seonamhaeicola	Coccinimonas_marina
ASV.3800	Bacteria	Proteobacteria	Alphaproteobacteria	NA	NA	NA	NA
ASV.3801	Bacteria	Dependentiae	Babeliae	Babeliales	Babeliales	Babeliales	uncultured_bacterium
ASV.3802	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	uncultured_bacterium
ASV.3803	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Vicingus	uncultured_Bacteroidetes
ASV.3804	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	uncultured	uncultured_Planctomycetaceae
ASV.3805	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	NA	NA
ASV.3806	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured	NA
ASV.3807	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	uncultured	uncultured_bacterium
ASV.3808	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	Planctomicrobium	uncultured_bacterium
ASV.3809	Bacteria	Proteobacteria	Gammaproteobacteria	Tenderiales	Tenderiaceae	Candidatus_Tenderia	uncultured_gamma
ASV.381	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	uncultured_bacterium
ASV.3810	Bacteria	Bacteroidota	Bacteroidia	Bacteroidales	Bacteroidetes_BD2-2	Bacteroidetes_BD2-2	NA
ASV.3811	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Opitutales	Puniceicoccaceae	Lentimonas	uncultured_bacterium
ASV.3812	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Rhizobiaceae	uncultured	uncultured_bacterium
ASV.3813	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	Nannocystis	uncultured_bacterium
ASV.3814	Bacteria	Desulfobacterota	Desulfuromonadia	Bradymonadales	Bradymonadales	Bradymonadales	uncultured_bacterium
ASV.3815	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	uncultured	uncultured_soil
ASV.3816	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	uncultured_bacterium
ASV.3817	Bacteria	Chloroflexi	Dehalococcoidia	SAR202_clade	SAR202_clade	SAR202_clade	uncultured_bacterium
ASV.3818	Bacteria	Bdellovibrionota	Oligoflexia	Oligoflexales	uncultured	uncultured	NA
ASV.3819	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	uncultured	uncultured	uncultured_Sphingobacteriales
ASV.382	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Ascidiaceihabitans	NA
ASV.3820	Bacteria	Bdellovibrionota	Bdellovibrionia	Bdellovibrionales	Bdellovibrionaceae	Bdellovibrio	uncultured_marine
ASV.3821	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Roseovarius	NA
ASV.3822	Bacteria	Deferribacterota	Deferribacteres	Deferribacterales	Deferribacteraceae	Denitrovibrio	bioreactor_metagenome
ASV.3823	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	uncultured	NA
ASV.3824	Bacteria	Chloroflexi	Dehalococcoidia	SAR202_clade	SAR202_clade	SAR202_clade	uncultured_bacterium
ASV.3825	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Terasakiellaceae	uncultured	alpha_proteobacterium
ASV.3826	Bacteria	Myxococcota	Polyangia	Polyangiales	Sandaracinaceae	uncultured	uncultured_delta
ASV.3827	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	Lewinella	uncultured_Bacteroidetes
ASV.3828	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	NA
ASV.3829	Bacteria	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	NA
ASV.383	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	NA
ASV.3830	Bacteria	Spirochaetota	Spirochaetia	Spirochaetales	Spirochaetaceae	Treponema	Treponema_isoptericolens
ASV.3831	Bacteria	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	SAR324_clade_marine_group_B	uncultured_bacterium
ASV.3832	Bacteria	Planctomycetota	Planctomycetes	Planctomycetales	Rubinisphaeraceae	uncultured	uncultured_planctomycete
ASV.3833	Bacteria	Bacteroidota	Bacteroidia	NA	NA	NA	NA
ASV.3834	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	DEV007	uncultured_bacterium
ASV.3835	Bacteria	Verrucomicrobiota	Lentisphaeria	Victivallales	NA	NA	NA
ASV.3836	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	NA	NA
ASV.3837	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	NA
ASV.3838	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	uncultured	NA
ASV.3839	Bacteria	Acidobacteriota	Thermoanaerobaculia	Thermoanaerobaculales	Thermoanaerobaculaceae	Subgroup_10	NA
ASV.384	Bacteria	Myxococcota	Polyangia	Nannocystales	Nannocystaceae	uncultured	uncultured_bacterium
ASV.3840	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV.3841	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	uncultured	NA
ASV.3842	Bacteria	PAUC34f	PAUC34f	PAUC34f	PAUC34f	PAUC34f	NA
ASV.3843	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	uncultured_Planctomyces
ASV.3844	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV.3845	Bacteria	Proteobacteria	Gammaproteobacteria	NA	NA	NA	NA
ASV.3846	Bacteria	Proteobacteria	Alphaproteobacteria	Rhizobiales	Methyloligellaceae	uncultured	NA
ASV.3847	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Halioglobus	NA
ASV.3848	Bacteria	Proteobacteria	Gammaproteobacteria	HOC36	HOC36	HOC36	NA
ASV.3849	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	uncultured	uncultured_bacterium
ASV.385	Bacteria	Planctomycetota	OM190	OM190	OM190	OM190	NA
ASV.3850	Bacteria	Campilobacterota	Campylobacteria	Campylobacterales	Rs-M59_termite_group	Rs-M59_termite_group	uncultured_bacterium
ASV.3851	Bacteria	RCP2-54	RCP2-54	RCP2-54	RCP2-54	RCP2-54	hydrothermal_vent
ASV.3852	Bacteria	PAUC34f	PAUC34f	PAUC34f	PAUC34f	PAUC34f	uncultured_microorganism
ASV.3853	Bacteria	Verrucomicrobiota	Verrucomicrobiae	Verrucomicrobiales	DEV007	DEV007	uncultured_Verrucomicrobiaceae
ASV.3854	Bacteria	Fibrobacterota	Fibrobacteria	Fibrobacterales	Fibrobacteraceae	uncultured	uncultured_bacterium
ASV.3855	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV.3856	Bacteria	Proteobacteria	Gammaproteobacteria	Nitrosococcales	Nitrosococcaceae	NA	NA
ASV.3857	Bacteria	Bacteroidota	Bacteroidia	Chitinophagales	Saprospiraceae	NA	NA
ASV.3858	Bacteria	Planctomycetota	vadinHA49	vadinHA49	vadinHA49	vadinHA49	uncultured_organism
ASV.3859	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Pseudohongiellaceae	Pseudohongiella	uncultured_Oceanospirillales
ASV.386	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales	Desulfocapsaceae	Desulfopila	uncultured_bacterium
ASV.3860	Bacteria	Desulfobacterota	Desulfuromonadia	PB19	PB19	PB19	uncultured_delta
ASV.3861	Bacteria	Bacteroidota	Bacteroidia	Flavobacteriales	Cryomorphaceae	Vicingus	uncultured_bacterium
ASV.3862	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rubripirellula	NA
ASV.3863	Bacteria	Proteobacteria	Gammaproteobacteria	Cellvibrionales	Halieaceae	Parahaliea	NA
ASV.3864	Bacteria	Bacteroidota	Rhodothermia	Rhodothermales	Rhodothermaceae	uncultured	uncultured_Sphingobacteriales
ASV.3865	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	uncultured	uncultured_Flexibacteraceae
ASV.3866	Bacteria	NA	NA	NA	NA	NA	NA
ASV.3867	Bacteria	Myxococcota	Polyangia	Haliangiales	Haliangiaceae	Haliangium	NA
ASV.3868	Bacteria	Bacteroidota	Bacteroidia	Cytophagales	Amoebophilaceae	uncultured	uncultured_bacterium
ASV.3869	Bacteria	Bdellovibrionota	Bdellovibrionia	Bacteriovoracales	Bacteriovoracaceae	Peredibacter	uncultured_marine
ASV.387	Bacteria	Proteobacteria	Alphaproteobacteria	Rickettsiales	Rickettsiaceae	uncultured	uncultured_bacterium
